metric,raw_mean,raw_sem,cebra_mean,cebra_sem,paired_t_stat,paired_t_p,wilcoxon_stat,wilcoxon_p,n_ordered_pairs
accuracy,0.20900000000000002,0.004143479341402776,0.194,0.008777962837637637,1.3771201623106963,0.18448452333621226,73.0,0.24548721313476562,20
balanced_accuracy,0.20900000000000002,0.004143479341402777,0.194,0.008777962837637637,1.3771201623106986,0.18448452333621185,70.5,0.20244979858398438,20
accuracy_effect_over_shuffle,0.3638870261271037,0.19768406850840342,-0.14862245439426022,0.21932852665806635,1.549527996532391,0.13775144592905075,71.0,0.21616744995117188,20
balanced_accuracy_effect_over_shuffle,0.36388702612710483,0.1976840685084034,-0.14862245439426042,0.21932852665806632,1.5495279965323956,0.13775144592904948,71.0,0.21616744995117188,20
