metric,raw_mean,raw_sem,cebra_mean,cebra_sem,paired_t_p,wilcoxon_p,n_pairs
procrustes_disparity,0.997979737548458,0.39515825639982416,0.1676358713655406,0.04158639600674936,0.05487863635476483,0.10546875,10
trajectory_correlation,0.815467707430274,0.02340264946329138,0.8669193908803272,0.020491958745454363,0.061029358401067296,0.130859375,10
variance_explained,-0.17636310076764383,0.43765847354641424,0.682289573329586,0.03004685113287216,0.09139480552241509,0.00390625,10
cross_animal_decoding_accuracy,0.21280000000000002,0.002847220867208352,0.299,0.01079608982713443,3.5420994284484644e-05,0.001953125,10
disparity_effect_over_shuffle,1.5832742069074708,0.12516920413430171,1.8278054617442412,0.1115183272700525,0.10696293868237434,0.10546875,10
decoding_effect_over_shuffle,0.5422506594944543,0.2619877686534097,1.1917659108962864,0.2796024752955981,0.18194949056088955,0.130859375,10
