observation_id,comparison,comparison_family,rat_left,rat_right,rat_pair,model_run,procrustes_disparity,aligned_rmse,aligned_sse_over_target_ss
21,A_vs_B,A_vs_B,rat0222,rat0307,rat0222__rat0307,1,0.13081834723543143,0.3616881906220209,0.13081834723543137
22,A_vs_B,A_vs_B,rat0222,rat0307,rat0222__rat0307,2,0.285078198215698,0.5339271469177215,0.2850781982156981
23,A_vs_B,A_vs_B,rat0222,rat0307,rat0222__rat0307,3,0.3696867916055522,0.608018742807779,0.36968679160555223
24,A_vs_B,A_vs_B,rat0222,rat0307,rat0222__rat0307,4,0.3757781686994765,0.6130074785020786,0.37577816869947644
25,A_vs_B,A_vs_B,rat0222,rat0307,rat0222__rat0307,5,0.41238571479094577,0.6421726518553602,0.4123857147909457
26,A_vs_B,A_vs_B,rat0222,rat0307,rat0222__rat0307,6,0.38759531959281746,0.6225715377310607,0.3875953195928174
27,A_vs_B,A_vs_B,rat0222,rat0307,rat0222__rat0307,7,0.09218079981991803,0.3036129111548419,0.0921807998199179
28,A_vs_B,A_vs_B,rat0222,rat0307,rat0222__rat0307,8,0.31247441498807293,0.55899410997619,0.3124744149880728
29,A_vs_B,A_vs_B,rat0222,rat0307,rat0222__rat0307,9,0.45701058080054924,0.6760255770313349,0.4570105808005493
30,A_vs_B,A_vs_B,rat0222,rat0307,rat0222__rat0307,10,0.051690682942211484,0.2273558509082436,0.051690682942211484
31,A_vs_B,A_vs_B,rat0222,rat0307,rat0222__rat0307,11,0.4305402464914319,0.6561556572120917,0.430540246491432
32,A_vs_B,A_vs_B,rat0222,rat0307,rat0222__rat0307,12,0.12906213841304987,0.3592521933308827,0.12906213841304995
33,A_vs_B,A_vs_B,rat0222,rat0307,rat0222__rat0307,13,0.39850290161374974,0.6312708623196145,0.3985029016137495
34,A_vs_B,A_vs_B,rat0222,rat0307,rat0222__rat0307,14,0.2558006276720622,0.5057673651710459,0.2558006276720621
35,A_vs_B,A_vs_B,rat0222,rat0307,rat0222__rat0307,15,0.3795723107648107,0.6160944008549425,0.3795723107648106
36,A_vs_B,A_vs_B,rat0222,rat0307,rat0222__rat0307,16,0.43345247255706637,0.6583710751218241,0.4334524725570665
37,A_vs_B,A_vs_B,rat0222,rat0307,rat0222__rat0307,17,0.45016427885275745,0.6709428283041391,0.4501642788527575
38,A_vs_B,A_vs_B,rat0222,rat0307,rat0222__rat0307,18,0.20373520530090475,0.45137036378223233,0.20373520530090475
