accuracy_mean,accuracy_sem,balanced_accuracy_mean,balanced_accuracy_sem,chance,class_1_count,class_2_count,class_3_count,class_4_count,class_5_count,n_features,n_samples,n_splits,session_key
0.152,0.028,0.152,0.028000000000000004,0.2,50,50,50,50,50,8,250,5,rat0222__2023_05_09
0.21599999999999997,0.02481934729198171,0.21600000000000003,0.02481934729198172,0.2,50,50,50,50,50,8,250,5,rat0307__2023_06_05
0.272,0.013564659966250536,0.272,0.013564659966250536,0.2,50,50,50,50,50,8,250,5,rat0313__2023_05_31
0.196,0.019390719429665318,0.196,0.019390719429665314,0.2,50,50,50,50,50,8,250,5,rat0314__2023_05_22
0.332,0.026532998322843202,0.332,0.02653299832284319,0.2,50,50,50,50,50,8,250,5,rat0816__2022_11_08
