metric,raw_mean,raw_sem,cebra_mean,cebra_sem,paired_t_stat,paired_t_p,wilcoxon_stat,wilcoxon_p,n_ordered_pairs
accuracy,0.20900000000000002,0.004143479341402776,0.37474116028911564,0.012107945845397277,-11.904072871406678,2.96666808912228e-10,0.0,1.9073486328125e-06,20
balanced_accuracy,0.20900000000000002,0.004143479341402777,0.37474116028911564,0.012107945845397277,-11.904072871406676,2.966668089122281e-10,0.0,1.9073486328125e-06,20
accuracy_effect_over_shuffle,0.3638870261271037,0.19768406850840342,2.6930004148297533,0.07183113076294817,-9.676583424303248,8.914057900801136e-09,1.0,3.814697265625e-06,20
balanced_accuracy_effect_over_shuffle,0.36388702612710483,0.1976840685084034,2.693000414829753,0.0718311307629482,-9.67658342430324,8.9140579008012e-09,1.0,3.814697265625e-06,20
