rat_id,nearest_neighbor_preservation,graph_edge_agreement,graph_edge_jaccard,mean_adjacent_distance,mean_nonadjacent_distance,nonadjacent_minus_adjacent,fraction_adjacent_closer_than_nonadjacent
rat0222,0.6,0.9,0.75,1.71558882042717,2.608765327333455,0.8931765069062849,0.9583333333333334
rat0307,0.8,0.9,0.75,1.440442064144645,2.3124937810666686,0.8720517169220237,0.9583333333333334
rat0313,0.8,1.0,1.0,1.1701198005298092,2.193459601722083,1.0233398011922739,0.875
rat0314,0.6,0.9,0.75,1.3889161028049999,2.534810943609982,1.145894840804982,1.0
rat0816,0.8,0.9,0.75,1.2160606117884953,2.506181930299755,1.2901213185112594,1.0
