comparison_family,n_rat_pairs,n_null_mean_samples,actual_mean_procrustes_disparity,actual_sem_procrustes_disparity,actual_ci95_low_procrustes_disparity,actual_ci95_high_procrustes_disparity,shuffle_null_mean_procrustes_disparity,shuffle_null_5th_percentile_procrustes_disparity,shuffle_null_95th_percentile_procrustes_disparity,one_sided_p_lower_than_shuffle_procrustes_disparity,actual_minus_shuffle_null_mean_procrustes_disparity,actual_mean_aligned_rmse,actual_sem_aligned_rmse,actual_ci95_low_aligned_rmse,actual_ci95_high_aligned_rmse,shuffle_null_mean_aligned_rmse,shuffle_null_5th_percentile_aligned_rmse,shuffle_null_95th_percentile_aligned_rmse,one_sided_p_lower_than_shuffle_aligned_rmse,actual_minus_shuffle_null_mean_aligned_rmse,actual_mean_aligned_sse_over_target_ss,actual_sem_aligned_sse_over_target_ss,actual_ci95_low_aligned_sse_over_target_ss,actual_ci95_high_aligned_sse_over_target_ss,shuffle_null_mean_aligned_sse_over_target_ss,shuffle_null_5th_percentile_aligned_sse_over_target_ss,shuffle_null_95th_percentile_aligned_sse_over_target_ss,one_sided_p_lower_than_shuffle_aligned_sse_over_target_ss,actual_minus_shuffle_null_mean_aligned_sse_over_target_ss
A_vs_A,10,500,0.16153994656383913,0.012733141278228787,0.1327355798171009,0.19034431331057736,0.5853116775957267,0.5648642946677391,0.6058410397626436,0.001996007984031936,-0.42377173103188753,0.38509411194143406,0.015922105202426193,0.34907580761185003,0.4211124162710181,0.7539856851769017,0.7400244715741447,0.7682418727720601,0.001996007984031936,-0.3688915732354676,0.16153994656383913,0.012733141278228787,0.1327355798171009,0.19034431331057736,0.5853116775957268,0.5648642946677391,0.6058410397626436,0.001996007984031936,-0.42377173103188764
A_vs_B,10,500,0.2158015027836254,0.018714596370595027,0.17346614455607728,0.2581368610111735,0.5824045392297823,0.5682589630423748,0.5976866764226164,0.001996007984031936,-0.3666030364461569,0.43967739592535937,0.020202704013661952,0.3939757043341178,0.4853790875166009,0.7519933474138396,0.7412450439265831,0.7629046303320207,0.001996007984031936,-0.31231595148848024,0.2158015027836254,0.018714596370595027,0.17346614455607728,0.2581368610111735,0.5824045392297823,0.5682589630423748,0.5976866764226166,0.001996007984031936,-0.3666030364461569
B_vs_B,10,500,0.26583821697483545,0.031401534708546126,0.19480301031283798,0.3368734236368329,0.5781807300403919,0.5577083064102832,0.5983814310566753,0.001996007984031936,-0.3123425130655565,0.48597839427268263,0.030151252306937163,0.4177715229009339,0.5541852656444314,0.7493693803574375,0.7349578690505898,0.7640297391944679,0.001996007984031936,-0.26339098608475486,0.26583821697483545,0.03140153470854612,0.194803010312838,0.3368734236368329,0.5781807300403919,0.5577083064102832,0.5983814310566753,0.001996007984031936,-0.3123425130655565
