rat_id,environment,task_bin,x,y,z,dim1,dim2,dim3
rat0222,A_reference,1.0,-0.4862084112529224,-1.7447960017892197,-0.9636481195445427,-0.4862084112529224,-1.7447960017892197,-0.9636481195445427
rat0222,A_reference,2.0,-1.6244871363386524,0.37631069388823907,-0.47272287653896516,-1.6244871363386524,0.37631069388823907,-0.47272287653896516
rat0222,A_reference,3.0,0.0677579433217478,1.2553855339406799,1.0611674466411043,0.0677579433217478,1.2553855339406799,1.0611674466411043
rat0222,A_reference,4.0,0.8925216068492223,-0.28380915546124363,1.3390031343971194,0.8925216068492223,-0.28380915546124363,1.3390031343971194
rat0222,A_reference,5.0,1.1504159974206039,0.39690892942154327,-0.9637995849547157,1.1504159974206039,0.39690892942154327,-0.9637995849547157
rat0222,B_procrustes_to_A,1.0,-0.6155737573891489,-0.4108624633322388,-0.5407717641796329,-0.6155737573891489,-0.4108624633322388,-0.5407717641796329
rat0222,B_procrustes_to_A,2.0,-1.8655475079959383,-0.21693846178231718,-0.2666640552726309,-1.8655475079959383,-0.21693846178231718,-0.2666640552726309
rat0222,B_procrustes_to_A,3.0,-0.20897498605554868,0.6753438235345837,0.6079645751924624,-0.20897498605554868,0.6753438235345837,0.6079645751924624
rat0222,B_procrustes_to_A,4.0,0.9685286777695561,0.09746279509926364,0.2940994540907627,0.9685286777695561,0.09746279509926364,0.2940994540907627
rat0222,B_procrustes_to_A,5.0,1.7215675736710783,-0.14500569351929243,-0.09462820983096111,1.7215675736710783,-0.14500569351929243,-0.09462820983096111
rat0307,A_reference,1.0,1.2706991800979304,0.39310399924127043,-0.8962075846313977,1.2706991800979304,0.39310399924127043,-0.8962075846313977
rat0307,A_reference,2.0,0.5227498899455513,0.301384864648005,-0.36660964128724344,0.5227498899455513,0.301384864648005,-0.36660964128724344
rat0307,A_reference,3.0,-0.9565118459327678,1.512997853873544,-1.088145357071191,-0.9565118459327678,1.512997853873544,-1.088145357071191
rat0307,A_reference,4.0,-1.3794340839375614,-0.9833791225692091,1.4151023305750572,-1.3794340839375614,-0.9833791225692091,1.4151023305750572
rat0307,A_reference,5.0,0.5424968598268478,-1.2241075951936111,0.9358602524147749,0.5424968598268478,-1.2241075951936111,0.9358602524147749
rat0307,B_procrustes_to_A,1.0,0.6030664647678232,-0.2089841574732262,-0.6313696340736807,0.6030664647678232,-0.2089841574732262,-0.6313696340736807
rat0307,B_procrustes_to_A,2.0,0.5761648489458323,1.2703811216596306,-0.6856299698592996,0.5761648489458323,1.2703811216596306,-0.6856299698592996
rat0307,B_procrustes_to_A,3.0,-0.7585966565230874,0.45071816853950286,-0.10139605316177924,-0.7585966565230874,0.45071816853950286,-0.10139605316177924
rat0307,B_procrustes_to_A,4.0,-1.1234257270463008,-0.1874786375184883,0.29348238829523415,-1.1234257270463008,-0.1874786375184883,0.29348238829523415
rat0307,B_procrustes_to_A,5.0,0.7027910698557324,-1.3246364952074203,1.124913268799525,0.7027910698557324,-1.3246364952074203,1.124913268799525
rat0313,A_reference,1.0,0.052841796511704245,0.49193436670453033,1.8798713947017254,0.052841796511704245,0.49193436670453033,1.8798713947017254
rat0313,A_reference,2.0,0.8244539758573532,0.9107003163374842,-0.15930194215600868,0.8244539758573532,0.9107003163374842,-0.15930194215600868
rat0313,A_reference,3.0,1.0365528515288447,0.7959624961277888,-0.13248293323246635,1.0365528515288447,0.7959624961277888,-0.13248293323246635
rat0313,A_reference,4.0,-0.11679536511284434,-0.4366695684467047,-0.5093106600149612,-0.11679536511284434,-0.4366695684467047,-0.5093106600149612
rat0313,A_reference,5.0,-1.797053258785058,-1.7619276107230988,-1.0787758592982888,-1.797053258785058,-1.7619276107230988,-1.0787758592982888
rat0313,B_procrustes_to_A,1.0,0.07770594173415611,0.3594307336120061,0.7760370644150071,0.07770594173415611,0.3594307336120061,0.7760370644150071
rat0313,B_procrustes_to_A,2.0,1.0909037243864625,0.9959852630861895,0.7363172506505852,1.0909037243864625,0.9959852630861895,0.7363172506505852
rat0313,B_procrustes_to_A,3.0,0.09806798739369176,0.5775399875602086,-0.35475452611082836,0.09806798739369176,0.5775399875602086,-0.35475452611082836
rat0313,B_procrustes_to_A,4.0,0.6381170105817756,-0.4315870129674553,-0.39962024417873276,0.6381170105817756,-0.4315870129674553,-0.39962024417873276
rat0313,B_procrustes_to_A,5.0,-1.9047946640960862,-1.5013689712909488,-0.7579795447760308,-1.9047946640960862,-1.5013689712909488,-0.7579795447760308
rat0314,A_reference,1.0,-1.1702271511163351,-1.1873120229693033,-0.9632027362303653,-1.1702271511163351,-1.1873120229693033,-0.9632027362303653
rat0314,A_reference,2.0,-1.1411550633152563,-1.1589984997429703,-1.046152174165624,-1.1411550633152563,-1.1589984997429703,-1.046152174165624
rat0314,A_reference,3.0,0.5383675799743577,0.5954279745135165,-0.37252453263552276,0.5383675799743577,0.5954279745135165,-0.37252453263552276
rat0314,A_reference,4.0,1.369572239414493,1.2995186939647427,1.2252671844536573,1.369572239414493,1.2995186939647427,1.2252671844536573
rat0314,A_reference,5.0,0.403442395042741,0.4513638542340142,1.1566122585778553,0.403442395042741,0.4513638542340142,1.1566122585778553
rat0314,B_procrustes_to_A,1.0,-0.5647141668473189,-0.8886085243932244,0.09903253125219998,-0.5647141668473189,-0.8886085243932244,0.09903253125219998
rat0314,B_procrustes_to_A,2.0,-0.3928244363079553,-0.3281770775315171,-1.0056775147914991,-0.3928244363079553,-0.3281770775315171,-1.0056775147914991
rat0314,B_procrustes_to_A,3.0,0.38198714530302336,0.7059782473416243,-1.1169829443868566,0.38198714530302336,0.7059782473416243,-1.1169829443868566
rat0314,B_procrustes_to_A,4.0,1.0088047335295842,0.48450477937092207,0.31126742347325637,1.0088047335295842,0.48450477937092207,0.31126742347325637
rat0314,B_procrustes_to_A,5.0,-0.4332532756773336,0.026302575212195256,1.7123605044529007,-0.4332532756773336,0.026302575212195256,1.7123605044529007
rat0816,A_reference,1.0,-1.1815777842910031,-0.9825728579585312,-1.4906388383472713,-1.1815777842910031,-0.9825728579585312,-1.4906388383472713
rat0816,A_reference,2.0,-1.0071648610085893,-1.113635637325959,-0.5431242533103751,-1.0071648610085893,-1.113635637325959,-0.5431242533103751
rat0816,A_reference,3.0,-0.01782078559118756,-0.22387480794205045,1.092810968553546,-0.01782078559118756,-0.22387480794205045,1.092810968553546
rat0816,A_reference,4.0,1.3814131724474537,1.3226040234808554,1.1208915584072332,1.3814131724474537,1.3226040234808554,1.1208915584072332
rat0816,A_reference,5.0,0.8251502584433266,0.9974792797456854,-0.1799394353031329,0.8251502584433266,0.9974792797456854,-0.1799394353031329
rat0816,B_procrustes_to_A,1.0,-0.6467582246817447,-0.5853111207656373,-0.5530381373678948,-0.6467582246817447,-0.5853111207656373,-0.5530381373678948
rat0816,B_procrustes_to_A,2.0,-0.603963132368929,-0.9568407886473319,-0.05850190663297828,-0.603963132368929,-0.9568407886473319,-0.05850190663297828
rat0816,B_procrustes_to_A,3.0,-0.52186596742878,-0.43610010283388073,0.5798182954446809,-0.52186596742878,-0.43610010283388073,0.5798182954446809
rat0816,B_procrustes_to_A,4.0,0.5395852721710178,0.13132710235815093,0.6769082419232539,0.5395852721710178,0.13132710235815093,0.6769082419232539
rat0816,B_procrustes_to_A,5.0,1.233002052308436,1.8469249098886993,-0.6451864933670618,1.233002052308436,1.8469249098886993,-0.6451864933670618
