mean,metric,p_value,sem,task_scheme,wilcoxon_p
0.9071892765864387,raw_rdm_similarity,nan,0.023225679508435744,CSUS5,
0.5748550130139831,cebra_rdm_similarity,0.003697642021569166,0.07329748194504473,CSUS5,0.005859375
-0.0012476006962037186,raw_shuffle_mean_similarity,0.001996007984031936,0.006066594589285119,CSUS5,
0.0007309053855908999,cebra_shuffle_mean_similarity,0.001996007984031936,0.004521502467455691,CSUS5,
