metric,raw_mean,raw_sem,cebra_mean,cebra_sem,paired_t_stat,paired_t_p,wilcoxon_stat,wilcoxon_p,n_pairs
mean_trace_similarity_vs_cebra_geometry,0.9832595247329806,0.0052258765069204795,0.5748550130139831,0.07329748194504473,5.499699446436231,0.00038033387512853,0.0,0.001953125,10
fraction_active_similarity_vs_cebra_geometry,0.9520324984977103,0.012724999092255811,0.5748550130139831,0.07329748194504473,4.69782006746161,0.0011236152880808657,1.0,0.00390625,10
mean_trace_effect_vs_cebra_effect,1.9476337704420228,0.02528950160219602,1.6992461004295734,0.20548911568350078,1.2171666904446128,0.25449254028704943,15.0,0.232421875,10
fraction_active_effect_vs_cebra_effect,1.8785958017881021,0.03564898760993023,1.6992461004295734,0.20548911568350078,0.8106694931440238,0.43846586110795727,19.0,0.431640625,10
