comparison_family,n_rat_pairs,actual_mean,actual_sem,actual_ci95_low,actual_ci95_high,n_null_mean_samples,shuffle_null_mean,shuffle_null_95th_percentile,one_sided_permutation_p,actual_minus_shuffle_null_mean
A_vs_A,10,0.616181818181818,0.028565120792769624,0.5515630255758927,0.6808006107877435,500,-0.005327030303030304,0.03346363636363635,0.001996007984031936,0.6215088484848483
A_vs_B,10,0.5165151515151515,0.029243750078978704,0.4503611928085824,0.5826691102217205,500,-0.004211515151515151,0.020804545454545433,0.001996007984031936,0.5207266666666667
B_vs_B,10,0.46036363636363625,0.04521771749335254,0.3580740528532502,0.5626532198740223,500,-0.0010789090909090915,0.0377030303030303,0.001996007984031936,0.4614425454545453
