rat_id,task_bin,x,y,z,dim1,dim2,dim3
rat0222,1.0,-0.5508910843210356,-1.0778292325607293,-0.7522099418620878,-0.5508910843210356,-1.0778292325607293,-0.7522099418620878
rat0222,2.0,-1.7450173221672953,0.07968611605296094,-0.369693465905798,-1.7450173221672953,0.07968611605296094,-0.369693465905798
rat0222,3.0,-0.07060852136690043,0.9653646787376318,0.8345660109167834,-0.07060852136690043,0.9653646787376318,0.8345660109167834
rat0222,4.0,0.9305251423093892,-0.09317318018099,0.816551294243941,0.9305251423093892,-0.09317318018099,0.816551294243941
rat0222,5.0,1.435991785545841,0.12595161795112542,-0.5292138973928384,1.435991785545841,0.12595161795112542,-0.5292138973928384
rat0307,1.0,-0.7133967633216975,-0.5776012096554198,-0.5819551139258087,-0.7133967633216975,-0.5776012096554198,-0.5819551139258087
rat0307,2.0,-0.9199393261988217,0.08988166411106738,-0.32742389481983014,-0.9199393261988217,0.08988166411106738,-0.32742389481983014
rat0307,3.0,-0.806301104646466,0.46257662280383144,0.8866878231732144,-0.806301104646466,0.46257662280383144,0.8866878231732144
rat0307,4.0,1.1368532876525044,0.3746856212088072,0.8294810813343323,1.1368532876525044,0.3746856212088072,0.8294810813343323
rat0307,5.0,1.3027839065144797,-0.34954269846828745,-0.8067898957619075,1.3027839065144797,-0.34954269846828745,-0.8067898957619075
rat0313,1.0,-0.715206036939164,-0.668270645500062,-0.545004665070761,-0.715206036939164,-0.668270645500062,-0.545004665070761
rat0313,2.0,-1.0712027057043927,0.11016076018178753,0.26451808805059346,-1.0712027057043927,0.11016076018178753,0.26451808805059346
rat0313,3.0,-0.5718674876363761,0.38750035339415273,0.26839749733258605,-0.5718674876363761,0.38750035339415273,0.26839749733258605
rat0313,4.0,0.2957631917976897,0.055149021513988705,0.455662938356454,0.2957631917976897,0.055149021513988705,0.455662938356454
rat0313,5.0,2.0625130384822423,0.11546051041013164,-0.4435738586688725,2.0625130384822423,0.11546051041013164,-0.4435738586688725
rat0314,1.0,-0.9560830467937379,-0.5935073900283974,-0.7770928807721095,-0.9560830467937379,-0.5935073900283974,-0.7770928807721095
rat0314,2.0,-1.3420377572603202,-0.20167153035245416,-0.43904502074065743,-1.3420377572603202,-0.20167153035245416,-0.43904502074065743
rat0314,3.0,-0.2981195717254738,0.6578933703380208,0.7627507119731778,-0.2981195717254738,0.6578933703380208,0.7627507119731778
rat0314,4.0,1.286689274944962,0.2942879925035292,0.9245038031306209,1.286689274944962,0.2942879925035292,0.9245038031306209
rat0314,5.0,1.3095511008345686,-0.1570024424606994,-0.4711166135910315,1.3095511008345686,-0.1570024424606994,-0.4711166135910315
rat0816,1.0,-1.0771518402259845,-0.5107371294429989,-0.814177936989661,-1.0771518402259845,-0.5107371294429989,-0.814177936989661
rat0816,2.0,-1.1950978277709163,-0.23051602264288965,-0.17816212108765864,-1.1950978277709163,-0.23051602264288965,-0.17816212108765864
rat0816,3.0,-0.3973555560741076,0.5098108963225325,0.564226248125834,-0.3973555560741076,0.5098108963225325,0.564226248125834
rat0816,4.0,1.0658981342849425,0.3860408369425291,0.7760095169117345,1.0658981342849425,0.3860408369425291,0.7760095169117345
rat0816,5.0,1.6037070897860648,-0.1545985811791743,-0.3478957069602485,1.6037070897860648,-0.1545985811791743,-0.3478957069602485
