rat_id,n_model_runs,n_bins,n_nonidentity_bin_permutations_per_run,n_null_mean_samples,mean_rReal,sem_rReal,ci95_low_rReal,ci95_high_rReal,shuffle_null_mean,shuffle_null_95th_percentile,one_sided_permutation_p,mean_rReal_minus_shuffle_null_mean,source_npz
rat0222,20,5,119,500,0.5309090909090909,0.05650631048001278,0.4126400238485624,0.6491781579696193,-0.004169696969696969,0.11878787878787875,0.001996007984031936,0.5350787878787878,/Users/Hannah/Programming/data_eyeblink/geometry_preservation_outputs/geometry_preservation_rat0222_set0222_dim3_bins5_2026-04-29_08-40-29.npz
rat0307,20,5,119,500,0.29515151515151505,0.07616680539111184,0.135732559320485,0.4545704709825451,-0.007781818181818182,0.10924242424242407,0.001996007984031936,0.3029333333333332,/Users/Hannah/Programming/data_eyeblink/geometry_preservation_outputs/geometry_preservation_rat0307_set0307_dim3_bins5_2026-04-30_22-51-17.npz
rat0313,20,5,119,500,0.7066666666666666,0.03707543641164997,0.6290668864293992,0.7842664469039339,-0.011150303030303031,0.10369696969696962,0.001996007984031936,0.7178169696969696,/Users/Hannah/Programming/data_eyeblink/geometry_preservation_outputs/geometry_preservation_rat0313_set0313_dim3_bins5_2026-04-29_07-57-35.npz
rat0314,20,5,119,500,0.635151515151515,0.044335180561994945,0.5423569157787259,0.7279461145243041,-0.00012000000000000033,0.13578787878787874,0.001996007984031936,0.635271515151515,/Users/Hannah/Programming/data_eyeblink/geometry_preservation_outputs/geometry_preservation_rat0314_set0314_dim3_bins5_2026-04-29_10-24-36.npz
rat0816,20,5,119,500,0.681212121212121,0.041209306593069366,0.5949600512473419,0.7674641911769002,0.0007515151515151515,0.12669696969696964,0.001996007984031936,0.6804606060606059,/Users/Hannah/Programming/data_eyeblink/geometry_preservation_outputs/geometry_preservation_rat0816_set0816_dim3_bins5_2026-04-29_09-47-24.npz
