observation_id,rat_left,rat_right,rat_pair,comparison,comparison_family,model_run,rReal
58,rat0222,rat0307,rat0222__rat0307,B_vs_A,A_vs_B,18,0.6121212121212121
59,rat0222,rat0307,rat0222__rat0307,B_vs_A,A_vs_B,19,0.6727272727272726
60,rat0222,rat0307,rat0222__rat0307,B_vs_B,B_vs_B,0,-0.35757575757575755
61,rat0222,rat0307,rat0222__rat0307,B_vs_B,B_vs_B,1,0.8060606060606059
62,rat0222,rat0307,rat0222__rat0307,B_vs_B,B_vs_B,2,0.6
63,rat0222,rat0307,rat0222__rat0307,B_vs_B,B_vs_B,3,-0.006060606060606061
64,rat0222,rat0307,rat0222__rat0307,B_vs_B,B_vs_B,4,0.5393939393939393
65,rat0222,rat0307,rat0222__rat0307,B_vs_B,B_vs_B,5,-0.19999999999999998
66,rat0222,rat0307,rat0222__rat0307,B_vs_B,B_vs_B,6,0.709090909090909
67,rat0222,rat0307,rat0222__rat0307,B_vs_B,B_vs_B,7,0.8787878787878788
68,rat0222,rat0307,rat0222__rat0307,B_vs_B,B_vs_B,8,0.7818181818181817
69,rat0222,rat0307,rat0222__rat0307,B_vs_B,B_vs_B,9,0.16363636363636364
70,rat0222,rat0307,rat0222__rat0307,B_vs_B,B_vs_B,10,0.709090909090909
71,rat0222,rat0307,rat0222__rat0307,B_vs_B,B_vs_B,11,-0.309090909090909
72,rat0222,rat0307,rat0222__rat0307,B_vs_B,B_vs_B,12,0.11515151515151514
73,rat0222,rat0307,rat0222__rat0307,B_vs_B,B_vs_B,13,0.11515151515151514
74,rat0222,rat0307,rat0222__rat0307,B_vs_B,B_vs_B,14,0.8181818181818182
75,rat0222,rat0307,rat0222__rat0307,B_vs_B,B_vs_B,15,0.13939393939393938
76,rat0222,rat0307,rat0222__rat0307,B_vs_B,B_vs_B,16,0.22424242424242422
77,rat0222,rat0307,rat0222__rat0307,B_vs_B,B_vs_B,17,0.32121212121212117
78,rat0222,rat0307,rat0222__rat0307,B_vs_B,B_vs_B,18,0.1515151515151515
79,rat0222,rat0307,rat0222__rat0307,B_vs_B,B_vs_B,19,0.07878787878787878
80,rat0222,rat0313,rat0222__rat0313,A_vs_A,A_vs_A,0,0.8303030303030302
81,rat0222,rat0313,rat0222__rat0313,A_vs_A,A_vs_A,1,0.8787878787878788
82,rat0222,rat0313,rat0222__rat0313,A_vs_A,A_vs_A,2,0.05454545454545454
83,rat0222,rat0313,rat0222__rat0313,A_vs_A,A_vs_A,3,0.8545454545454544
84,rat0222,rat0313,rat0222__rat0313,A_vs_A,A_vs_A,4,0.7454545454545454
85,rat0222,rat0313,rat0222__rat0313,A_vs_A,A_vs_A,5,0.4424242424242424
86,rat0222,rat0313,rat0222__rat0313,A_vs_A,A_vs_A,6,0.18787878787878787
87,rat0222,rat0313,rat0222__rat0313,A_vs_A,A_vs_A,7,0.6
88,rat0222,rat0313,rat0222__rat0313,A_vs_A,A_vs_A,8,0.4666666666666666
89,rat0222,rat0313,rat0222__rat0313,A_vs_A,A_vs_A,9,0.5272727272727272
90,rat0222,rat0313,rat0222__rat0313,A_vs_A,A_vs_A,10,0.4787878787878787
91,rat0222,rat0313,rat0222__rat0313,A_vs_A,A_vs_A,11,0.5151515151515151
92,rat0222,rat0313,rat0222__rat0313,A_vs_A,A_vs_A,12,0.6242424242424242
93,rat0222,rat0313,rat0222__rat0313,A_vs_A,A_vs_A,13,-0.006060606060606061
94,rat0222,rat0313,rat0222__rat0313,A_vs_A,A_vs_A,14,0.8060606060606059
95,rat0222,rat0313,rat0222__rat0313,A_vs_A,A_vs_A,15,0.8787878787878788
96,rat0222,rat0313,rat0222__rat0313,A_vs_A,A_vs_A,16,0.6242424242424242
97,rat0222,rat0313,rat0222__rat0313,A_vs_A,A_vs_A,17,-0.12727272727272726
98,rat0222,rat0313,rat0222__rat0313,A_vs_A,A_vs_A,18,0.6121212121212121
99,rat0222,rat0313,rat0222__rat0313,A_vs_A,A_vs_A,19,0.7333333333333332
100,rat0222,rat0313,rat0222__rat0313,A_vs_B,A_vs_B,0,0.2606060606060606
101,rat0222,rat0313,rat0222__rat0313,A_vs_B,A_vs_B,1,0.9636363636363635
102,rat0222,rat0313,rat0222__rat0313,A_vs_B,A_vs_B,2,0.06666666666666665
103,rat0222,rat0313,rat0222__rat0313,A_vs_B,A_vs_B,3,0.34545454545454546
104,rat0222,rat0313,rat0222__rat0313,A_vs_B,A_vs_B,4,0.6484848484848483
105,rat0222,rat0313,rat0222__rat0313,A_vs_B,A_vs_B,5,0.8060606060606059
106,rat0222,rat0313,rat0222__rat0313,A_vs_B,A_vs_B,6,0.4666666666666666
107,rat0222,rat0313,rat0222__rat0313,A_vs_B,A_vs_B,7,0.8787878787878788
108,rat0222,rat0313,rat0222__rat0313,A_vs_B,A_vs_B,8,0.29696969696969694
109,rat0222,rat0313,rat0222__rat0313,A_vs_B,A_vs_B,9,0.16363636363636364
110,rat0222,rat0313,rat0222__rat0313,A_vs_B,A_vs_B,10,0.6606060606060605
111,rat0222,rat0313,rat0222__rat0313,A_vs_B,A_vs_B,11,0.7454545454545454
112,rat0222,rat0313,rat0222__rat0313,A_vs_B,A_vs_B,12,0.406060606060606
113,rat0222,rat0313,rat0222__rat0313,A_vs_B,A_vs_B,13,0.43030303030303024
114,rat0222,rat0313,rat0222__rat0313,A_vs_B,A_vs_B,14,0.28484848484848485
115,rat0222,rat0313,rat0222__rat0313,A_vs_B,A_vs_B,15,0.8303030303030302
116,rat0222,rat0313,rat0222__rat0313,A_vs_B,A_vs_B,16,0.6727272727272726
117,rat0222,rat0313,rat0222__rat0313,A_vs_B,A_vs_B,17,0.09090909090909088
118,rat0222,rat0313,rat0222__rat0313,A_vs_B,A_vs_B,18,0.7939393939393938
119,rat0222,rat0313,rat0222__rat0313,A_vs_B,A_vs_B,19,0.4545454545454545
120,rat0222,rat0313,rat0222__rat0313,B_vs_A,A_vs_B,0,0.8424242424242423
121,rat0222,rat0313,rat0222__rat0313,B_vs_A,A_vs_B,1,0.41818181818181815
122,rat0222,rat0313,rat0222__rat0313,B_vs_A,A_vs_B,2,0.7333333333333332
123,rat0222,rat0313,rat0222__rat0313,B_vs_A,A_vs_B,3,0.5757575757575757
124,rat0222,rat0313,rat0222__rat0313,B_vs_A,A_vs_B,4,0.8787878787878788
125,rat0222,rat0313,rat0222__rat0313,B_vs_A,A_vs_B,5,0.6969696969696969
126,rat0222,rat0313,rat0222__rat0313,B_vs_A,A_vs_B,6,0.4545454545454545
127,rat0222,rat0313,rat0222__rat0313,B_vs_A,A_vs_B,7,0.5030303030303029
128,rat0222,rat0313,rat0222__rat0313,B_vs_A,A_vs_B,8,0.6848484848484848
129,rat0222,rat0313,rat0222__rat0313,B_vs_A,A_vs_B,9,0.6848484848484848
130,rat0222,rat0313,rat0222__rat0313,B_vs_A,A_vs_B,10,0.33333333333333326
131,rat0222,rat0313,rat0222__rat0313,B_vs_A,A_vs_B,11,0.34545454545454546
132,rat0222,rat0313,rat0222__rat0313,B_vs_A,A_vs_B,12,0.29696969696969694
133,rat0222,rat0313,rat0222__rat0313,B_vs_A,A_vs_B,13,0.6727272727272726
134,rat0222,rat0313,rat0222__rat0313,B_vs_A,A_vs_B,14,0.7575757575757575
135,rat0222,rat0313,rat0222__rat0313,B_vs_A,A_vs_B,15,0.6727272727272726
136,rat0222,rat0313,rat0222__rat0313,B_vs_A,A_vs_B,16,0.8787878787878788
137,rat0222,rat0313,rat0222__rat0313,B_vs_A,A_vs_B,17,0.5393939393939393
138,rat0222,rat0313,rat0222__rat0313,B_vs_A,A_vs_B,18,0.8060606060606059
139,rat0222,rat0313,rat0222__rat0313,B_vs_A,A_vs_B,19,0.41818181818181815
140,rat0222,rat0313,rat0222__rat0313,B_vs_B,B_vs_B,0,0.2727272727272727
141,rat0222,rat0313,rat0222__rat0313,B_vs_B,B_vs_B,1,0.6606060606060605
142,rat0222,rat0313,rat0222__rat0313,B_vs_B,B_vs_B,2,0.6848484848484848
143,rat0222,rat0313,rat0222__rat0313,B_vs_B,B_vs_B,3,0.6606060606060605
144,rat0222,rat0313,rat0222__rat0313,B_vs_B,B_vs_B,4,0.7939393939393938
145,rat0222,rat0313,rat0222__rat0313,B_vs_B,B_vs_B,5,0.6363636363636362
146,rat0222,rat0313,rat0222__rat0313,B_vs_B,B_vs_B,6,0.6242424242424242
147,rat0222,rat0313,rat0222__rat0313,B_vs_B,B_vs_B,7,0.7696969696969697
148,rat0222,rat0313,rat0222__rat0313,B_vs_B,B_vs_B,8,0.41818181818181815
149,rat0222,rat0313,rat0222__rat0313,B_vs_B,B_vs_B,9,0.32121212121212117
150,rat0222,rat0313,rat0222__rat0313,B_vs_B,B_vs_B,10,0.5272727272727272
151,rat0222,rat0313,rat0222__rat0313,B_vs_B,B_vs_B,11,-0.2121212121212121
152,rat0222,rat0313,rat0222__rat0313,B_vs_B,B_vs_B,12,0.4424242424242424
153,rat0222,rat0313,rat0222__rat0313,B_vs_B,B_vs_B,13,0.7333333333333332
154,rat0222,rat0313,rat0222__rat0313,B_vs_B,B_vs_B,14,0.7333333333333332
155,rat0222,rat0313,rat0222__rat0313,B_vs_B,B_vs_B,15,0.18787878787878787
156,rat0222,rat0313,rat0222__rat0313,B_vs_B,B_vs_B,16,0.8424242424242423
157,rat0222,rat0313,rat0222__rat0313,B_vs_B,B_vs_B,17,0.8424242424242423
158,rat0222,rat0313,rat0222__rat0313,B_vs_B,B_vs_B,18,0.8303030303030302
159,rat0222,rat0313,rat0222__rat0313,B_vs_B,B_vs_B,19,0.6363636363636362
160,rat0222,rat0314,rat0222__rat0314,A_vs_A,A_vs_A,0,0.5272727272727272
161,rat0222,rat0314,rat0222__rat0314,A_vs_A,A_vs_A,1,0.5636363636363636
162,rat0222,rat0314,rat0222__rat0314,A_vs_A,A_vs_A,2,0.10303030303030303
163,rat0222,rat0314,rat0222__rat0314,A_vs_A,A_vs_A,3,0.2606060606060606
164,rat0222,rat0314,rat0222__rat0314,A_vs_A,A_vs_A,4,0.5151515151515151
165,rat0222,rat0314,rat0222__rat0314,A_vs_A,A_vs_A,5,0.406060606060606
166,rat0222,rat0314,rat0222__rat0314,A_vs_A,A_vs_A,6,0.34545454545454546
167,rat0222,rat0314,rat0222__rat0314,A_vs_A,A_vs_A,7,0.06666666666666665
168,rat0222,rat0314,rat0222__rat0314,A_vs_A,A_vs_A,8,0.6363636363636362
169,rat0222,rat0314,rat0222__rat0314,A_vs_A,A_vs_A,9,0.5515151515151515
170,rat0222,rat0314,rat0222__rat0314,A_vs_A,A_vs_A,10,0.6969696969696969
171,rat0222,rat0314,rat0222__rat0314,A_vs_A,A_vs_A,11,0.309090909090909
172,rat0222,rat0314,rat0222__rat0314,A_vs_A,A_vs_A,12,0.5393939393939393
173,rat0222,rat0314,rat0222__rat0314,A_vs_A,A_vs_A,13,0.05454545454545454
174,rat0222,rat0314,rat0222__rat0314,A_vs_A,A_vs_A,14,0.6363636363636362
175,rat0222,rat0314,rat0222__rat0314,A_vs_A,A_vs_A,15,0.5636363636363636
176,rat0222,rat0314,rat0222__rat0314,A_vs_A,A_vs_A,16,0.5878787878787878
